[10:04:28] H-Spill runner start. snapshot=2026-05-21T10:04:28.344229+00:00
[10:04:28] generator: Claude Sonnet 4.6
[10:04:28] judges: ['Claude Opus 4.7', 'Gemini 2.5 Flash']
[10:04:28] seeds.json exists, loading cached
[10:04:28] seeds count: 20
[10:04:28] === generation: 20 chains x 3 transformations = 60 calls ===
[10:04:28] === generation done: cum_cost=$0.00 cum_wall=0.0s ===
[10:04:28] === judging: 20 chains x 4 stages x 2 judges = 160 calls ===
[10:04:28]   remaining (after cache): 74 calls
[10:04:28]   Claude Opus 4.7: 0 calls (all cached)
[10:04:28]   Gemini 2.5 Flash: 74 calls (concurrency=4)
[10:05:16]   judge [  1/74] W713174289/s2/gemini25flash ai_p=0.40 (48.3s cost=$0.0000; cum=$0.00)
[10:07:59]   judge [ 16/74] W711502524/s0/gemini25flash ai_p=0.90 (51.0s cost=$0.0000; cum=$0.00)
[10:07:59]   judge [ 17/74] W711502524/s2/gemini25flash ai_p=0.10 (27.4s cost=$0.0000; cum=$0.00)
[10:08:24]   judge [ 18/74] W711502524/s3/gemini25flash ai_p=0.05 (36.9s cost=$0.0000; cum=$0.00)
[10:08:34]   judge [ 19/74] W711500832/s2/gemini25flash ai_p=0.30 (35.0s cost=$0.0000; cum=$0.00)
[10:08:56]   judge [ 20/74] W711500832/s3/gemini25flash ai_p=0.10 (32.7s cost=$0.0000; cum=$0.00)
[10:08:58]   judge [ 21/74] W711500832/s1/gemini25flash ai_p=0.70 (59.4s cost=$0.0000; cum=$0.00)
[10:09:01]   judge [ 22/74] W712605907/s0/gemini25flash ai_p=0.90 (27.6s cost=$0.0000; cum=$0.00)
[10:09:31]   judge [ 23/74] W712605907/s2/gemini25flash ai_p=0.10 (32.9s cost=$0.0000; cum=$0.00)
[10:09:32]   judge [ 24/74] W712605907/s1/gemini25flash ai_p=0.85 (35.8s cost=$0.0000; cum=$0.00)
[10:09:37]   judge [ 25/74] W712605907/s3/gemini25flash ai_p=0.65 (36.0s cost=$0.0000; cum=$0.00)
[10:09:48]   judge [ 26/74] W711500832/s0/gemini25flash ai_p=0.70 (111.7s cost=$0.0000; cum=$0.00)
[10:10:01]   judge [ 27/74] W712601866/s1/gemini25flash ai_p=0.10 (29.3s cost=$0.0000; cum=$0.00)
[10:10:04]   judge [ 28/74] W712601866/s2/gemini25flash ai_p=0.40 (26.6s cost=$0.0000; cum=$0.00)
[10:10:09]   judge [ 29/74] W712601866/s3/gemini25flash ai_p=0.20 (20.6s cost=$0.0000; cum=$0.00)
[10:10:10]   judge [ 30/74] W712601866/s0/gemini25flash ai_p=0.85 (39.2s cost=$0.0000; cum=$0.00)
[10:10:28]   judge [ 31/74] W715375025/s2/gemini25flash ai_p=0.40 (19.5s cost=$0.0000; cum=$0.00)
[10:10:33]   judge [ 32/74] W715375025/s3/gemini25flash ai_p=0.40 (22.7s cost=$0.0000; cum=$0.00)
[10:10:49]   judge [ 33/74] W715378189/s0/gemini25flash ai_p=0.90 (21.3s cost=$0.0000; cum=$0.00)
[10:10:55]   judge [ 34/74] W715375025/s1/gemini25flash ai_p=0.20 (50.8s cost=$0.0000; cum=$0.00)
[10:10:56]   judge [ 35/74] W715375025/s0/gemini25flash ai_p=0.95 (54.5s cost=$0.0000; cum=$0.00)
[10:11:12]   judge [ 36/74] W715378189/s2/gemini25flash ai_p=0.10 (23.0s cost=$0.0000; cum=$0.00)
[10:11:17]   judge [ 37/74] W715378189/s3/gemini25flash ai_p=0.10 (22.5s cost=$0.0000; cum=$0.00)
[10:11:22]   judge [ 38/74] W715378189/s1/gemini25flash ai_p=0.90 (49.1s cost=$0.0000; cum=$0.00)
[10:11:22]   judge [ 39/74] W713107103/s0/gemini25flash ai_p=0.95 (26.3s cost=$0.0000; cum=$0.00)
[10:11:46]   judge [ 40/74] W713107103/s1/gemini25flash ai_p=0.85 (33.5s cost=$0.0000; cum=$0.00)
[10:11:47]   judge [ 41/74] W713107103/s2/gemini25flash ai_p=0.10 (30.1s cost=$0.0000; cum=$0.00)
[10:11:53]   judge [ 42/74] W713113238/s0/gemini25flash ai_p=0.90 (30.9s cost=$0.0000; cum=$0.00)
[10:11:55]   judge [ 43/74] W713107103/s3/gemini25flash ai_p=0.30 (33.1s cost=$0.0000; cum=$0.00)
[10:12:15]   judge [ 44/74] W713113238/s2/gemini25flash ai_p=0.10 (27.7s cost=$0.0000; cum=$0.00)
[10:12:15]   judge [ 45/74] W713113238/s1/gemini25flash ai_p=0.70 (29.3s cost=$0.0000; cum=$0.00)
[10:12:25]   judge [ 46/74] W713113238/s3/gemini25flash ai_p=0.15 (32.0s cost=$0.0000; cum=$0.00)
[10:12:34]   judge [ 47/74] W710794469/s0/gemini25flash ai_p=0.90 (39.2s cost=$0.0000; cum=$0.00)
[10:12:45]   judge [ 48/74] W710794469/s1/gemini25flash ai_p=0.90 (29.9s cost=$0.0000; cum=$0.00)
[10:12:47]   judge [ 49/74] W710794469/s2/gemini25flash ai_p=0.10 (31.5s cost=$0.0000; cum=$0.00)
[10:13:02]   judge [ 50/74] W710794469/s3/gemini25flash ai_p=0.40 (37.0s cost=$0.0000; cum=$0.00)
[10:13:07]   judge [ 51/74] W710794725/s0/gemini25flash ai_p=0.80 (32.3s cost=$0.0000; cum=$0.00)
[10:13:18]   judge [ 52/74] W710794725/s1/gemini25flash ai_p=0.85 (32.9s cost=$0.0000; cum=$0.00)
[10:13:19]   judge [ 53/74] W710794725/s2/gemini25flash ai_p=0.10 (32.6s cost=$0.0000; cum=$0.00)
[10:13:33]   judge [ 54/74] W710794725/s3/gemini25flash ai_p=0.15 (31.0s cost=$0.0000; cum=$0.00)
[10:13:42]   judge [ 55/74] W713402847/s0/gemini25flash ai_p=0.70 (35.8s cost=$0.0000; cum=$0.00)
[10:13:46]   judge [ 56/74] W713402847/s2/gemini25flash ai_p=0.10 (26.3s cost=$0.0000; cum=$0.00)
[10:13:48]   judge [ 57/74] W713402847/s1/gemini25flash ai_p=0.85 (30.0s cost=$0.0000; cum=$0.00)
[10:14:05]   judge [ 58/74] W713402847/s3/gemini25flash ai_p=0.10 (32.1s cost=$0.0000; cum=$0.00)
[10:14:15]   judge [ 59/74] W716084518/s0/gemini25flash ai_p=0.90 (32.7s cost=$0.0000; cum=$0.00)
[10:14:17]   judge [ 60/74] W716084518/s2/gemini25flash ai_p=0.10 (29.1s cost=$0.0000; cum=$0.00)
[10:14:18]   judge [ 61/74] W716084518/s1/gemini25flash ai_p=0.95 (32.1s cost=$0.0000; cum=$0.00)
[10:14:36]   judge [ 62/74] W716084518/s3/gemini25flash ai_p=0.70 (30.5s cost=$0.0000; cum=$0.00)
[10:14:46]   judge [ 63/74] W716082829/s1/gemini25flash ai_p=0.70 (28.5s cost=$0.0000; cum=$0.00)
[10:14:46]   judge [ 64/74] W716082829/s0/gemini25flash ai_p=0.70 (31.3s cost=$0.0000; cum=$0.00)
[10:14:50]   judge [ 65/74] W716082829/s2/gemini25flash ai_p=0.10 (31.8s cost=$0.0000; cum=$0.00)
[10:15:13]   judge [ 66/74] W716082829/s3/gemini25flash ai_p=0.40 (36.7s cost=$0.0000; cum=$0.00)
[10:15:14]   judge [ 67/74] W716024825/s0/gemini25flash ai_p=0.75 (28.2s cost=$0.0000; cum=$0.00)
[10:15:18]   judge [ 68/74] W716024825/s1/gemini25flash ai_p=0.90 (31.8s cost=$0.0000; cum=$0.00)
[10:15:27]   judge [ 69/74] W716024825/s2/gemini25flash ai_p=0.30 (37.9s cost=$0.0000; cum=$0.00)
[10:15:36]   judge [ 70/74] W716031960/s0/gemini25flash ai_p=0.80 (22.0s cost=$0.0000; cum=$0.00)
[10:15:37]   judge [ 71/74] W716024825/s3/gemini25flash ai_p=0.80 (24.5s cost=$0.0000; cum=$0.00)
[10:15:47]   judge [ 72/74] W716031960/s1/gemini25flash ai_p=0.35 (29.3s cost=$0.0000; cum=$0.00)
[10:15:57]   judge [ 73/74] W716031960/s2/gemini25flash ai_p=0.20 (29.1s cost=$0.0000; cum=$0.00)
[10:17:51]   judge [ 74/74] W716031960/s3/gemini25flash ai_p=0.70 (135.0s cost=$0.0000; cum=$0.00)
[10:17:51] === judging done: cum_cost=$0.00  failures=0 ===
[10:17:51] === stylometric stats ===
[10:17:51] stylo.csv written: 80 rows
[10:17:51] === analysis ===
[10:17:51]   stage means (panel ai_probability): {0: 0.7629999999999999, 1: 0.7982500000000001, 2: 0.516, 3: 0.61}
[10:18:22]   mean per-chain Spearman rho = -0.4254  perm p (one-sided less) = 0.0003
[10:18:22]   Mann-Kendall S on 4-stage means = -2 (monotonic decreasing if S < 0)
[10:18:22] h_spill_stats.json written: decision = consistent with H-Spill at alpha=0.05
